,Date,Title,score1
35,"April 19, 2020, Sunday","Kotak Mahindra Bank to consider raising equity capital.Nabard to review fundings of Regional Rural Banks, co-op banks on April 20.Reopening of services to depend on permission from local authorities: NBFCs.RBI may cap reverse repo rate to ensure liquidity translates into credit.RBI moratorium: 10% provisioning may shave Rs 35,000 cr off bank profits.RBI's steps for NBFCs may not boost credit flow to broader economy: Moody's",neutral
36,"April 18, 2020, Saturday","HDFC Bank board finalises Aditya Puri's successor, waits for RBI nod.Punjab & Sind Bank declares Golden Jubilee Hotels as fraud account.Covid-19 crisis: Each bank to decide on granting moratorium to NBFCs.HDFC Banks' PBT rises 2.5% to Rs 9,174 crore; makes higher provisions.IBA to discuss the issue of giving a moratorium to NBFCs on Saturday",neutral
37,"April 17, 2020, Friday","RBI gives NBFCs more time to restructure commercial real estate loans.Muthoot Finance to re-open all branches across India from April 20.RBI promises liquidity support to NBFCs, MFIs dealing with cashflow issues.Covid-19: MSMEs cautiously welcome RBI measures, exporters want more.RBI steps increase lending, but sector-specific package must: Bankers.RBI has made life a bit easier for NBFCs, MFIs amid Covid-19 pandemic.RBI measures sufficient, not substantial; Guv doing balancing act: Experts.Covid-19: RBI slashes reverse repo rate by 25 bps, no change in repo rate",positive
38,"April 16, 2020, Thursday",Covid-19 impact: Banks raise concern over fresh NPAs of Rs 50K crore.Default-wary banks say won't use RBI funds for low-rated companies,negative
39,"April 15, 2020, Wednesday",Lenders want more time to finalise working capital needs of large firms.Decoding the bullishness on ICICI Bank as other lenders follow caution.Banks to seek extension of moratorium on loan repayments beyond June,negative
40,"April 14, 2020, Tuesday","Covid-19 outbreak, YES Bank rescue make small banks vulnerable: Moody's.RBI wants banks to take call on package, moratorium extension for NBFCs.Indian banks issue gag orders to employees over overcrowding: Reports.Low consumption deepens SBI Cards' woes as Covid-19 lockdown gets extended.Private lenders may lose deposits to PSBs due to YES Bank bailout: Report.Covid-19 impact: Moody's takes rating action on three Indian NBFCs",negative
41,"April 13, 2020, Monday","NBFC association to RBI: One-time loan restructuring need of the hour.ADB triples financial aid for members to $20 billion to fight virus.Deposits from microbanking customers continue to be strong: Bandhan Bank.Max Life Insurance, YES Bank extend bancassurance partnership for 5 years.Bandhan Bank's FY20 deposits rise 32%; 60% jump in loans and advances",positive
42,"April 12, 2020, Sunday","China central bank hikes stake in HDFC amid a sharp correction in shares.RBI to tighten private banks' succession planning with stricter timeline.Post merger, PNB gets Irdai nod to retain stake in two life insurance cos",neutral
43,"April 11, 2020, Saturday",RBI should start buying corporate bonds to provide liquidity: Deepak Parekh.Covid-19 woes: NBFC sector staring at another bout of liquidity challenge.Plea in SC challenging RBI circular on 3-month moratorium on loan repayment.As many as 10 mn borrowers can't benefit from moratorium. Here's why.NBFCs have to repay debt worth Rs 1.75 trillion by June 2020: CRISIL.Coronavirus outbreak: Bank credit growth falls sharply to 6.1% in FY20.Public sector banks overtake private banks in fresh loan sanctions,negative
44,"April 10, 2020, Friday","Bank credit growth slumps to 5-decade low of 6.14% in FY20 over low demand.NBFCs to face liquidity crunch on lack of clarity on RBI moratorium: Crisil.Coronavirus impact: Credit growth likely to remain modest, says RBI",negative
45,"April 09, 2020, Thursday",Bank of Baroda trims MCLRs by 0.15% across tenors; cuts term deposit rates.Covid-19: Retail lending may not remain steady source of business for banks.Irdai rejects general insurers' call for blanket easing of solvency margins.'Covid-19 hangs over future like spectre': RBI in Monetary Policy Report,negative
46,"April 08, 2020, Wednesday","RBI to examine buyback of outstanding amount of Rs 84,574 cr in AT-1 bonds.Irdai grants exemptions to merged banks on corporate agency matters.IDBI Bank plans to raise Rs 7,500 cr via rupee bond in current fiscal.Cash-strapped DHFL not to make any payment to lenders, bondholders",neutral
47,"April 07, 2020, Tuesday","NBFC-MFIs seek clarity from RBI on 3-month moratorium on loans.SBI reduces MCLR by 35 bps, cuts savings rate by 25 bps on all deposits.Rush hour and tougher questions ahead for both Mint Road and banks.Coronavirus crisis to hit Indian, Chinese, Indonesian banks hard, says S&P",neutral
48,"April 06, 2020, Monday","Kotak Mahindra Bank deposits grow 20% YoY to Rs 2.59 trillion in Q4.Covid-19 impact: Confusion over moratorium norms hit smaller MFIs hard.Covid-19: Amid economic slump, banks' credit costs, NPAs to rise in 2020",positive
49,"April 05, 2020, Sunday","Covid-19 relief: Staggered 180-day bad-loan breather on cards for banks.PNB looks to tap market in Q3FY21; may raise capital via FPO, rights issue",positive
50,"April 04, 2020, Saturday",HDFC Bank's advances rise 21% in March quarter; deposits go up 24%,positive
51,"April 03, 2020, Friday","Moody's puts IndusInd Bank's issuer ratings on review for downgrade.RBI shortens forex, money market trading hours amid coronavirus lockdown.SBI warns employees of action over social media posts against bank.Covid-19 relief: Citi Bank releases FAQ on deferred EMIs and its impact",neutral
52,"April 02, 2020, Thursday","Coronavirus impact: Rating agencies see more pain for banks and NBFCs.Why the three-month moratorium on your home loan EMI may not be a good idea.Covid19: Banks, NBFCs to see increase in stressed assets in FY21, says Icra.Covid-19 relief: HDFC Bank releases FAQ on deferred EMIs and its impact.Covid-19 relief: SBI relaxes payment timeline for one time settlement.Covid-19 relief: You can defer 3 EMIs but that may be a very costly option.RBI moratorium on term and working capital loans may hurt business",negative
53,"April 01, 2020, Wednesday","EMI moratorium: No big gains for borrowers, banks to charge interest later.Indian Bank allots 520.5 mn shares to Allahabad Bank shareholders.Most private banks choose 'opt-in' option on loan repayment moratorium.Merger of 10 PSU banks into 4 effective from today; 6 banks cease to exist.Coronavirus outbreak: Consolidation in PSB space now a reality",neutral
54,"March 31, 2020, Tuesday",Non-food loan growth pace decelerates to 7.3% in February 2020 from 13.2%.Bank mergers: Allahabad Bank branches are now Indian Bank branches.IDBI Bank grants moratorium on term loans amid Covid-19 disruption.RBI Moratorium: NBFCs stare at asset liability management challenges.Govt extends term of RBI Deputy Governor B P Kanungo by one year,negative
55,"March 30, 2020, Monday","IndusInd Bank updates analysts on coronavirus impact, bad loans scenario.Union Bank of India reduces lending rates by 75 bps in line with RBI cut.Ensure enough cash to meet cash demand post salary transfers: Govt to banks.RBI changes SLBC convenors over merger of 10 PSBs into 4 from April 1.Bank of Baroda cuts personal, retail loan rates by 75 bps to 7.25%",neutral
56,"March 29, 2020, Sunday","Coronavirus lockdown: IBBI gives time-limit breather for IBC cases.Bank of India cuts MCLR up to 25 bps across category, deposit rate cut next.Defaulting promoters may get lifeline, lenders may defer pledged share sale.Banks face operational hurdles in implementing 90-day loan moratorium.Banks face operational hurdles in implementing 90-day loan moratorium.Indian Bank launches mobile ATM to help public deal with Covid-19 crisis.Keep banking channels up and running; maintain smooth cash withdrawals: FM.SBI raises $100 mn via green bonds amid volatile market conditions",neutral
57,"March 28, 2020, Saturday","Covid-19: Bank employees seek transportation, police protection for working.A bazooka of liquidity & ventilator for credit: RBI's response to covid-19",neutral
58,"March 27, 2020, Friday","RBI relief package to help sustain businesses during coronavirus: Bankers.Realty firms see liquidity improving, demand boost over RBI rate cut.Moratorium a good option for the cash-starved, banks to take final call.SBI cuts lending rate by 75 bps as RBI introduces liquidity package.NBFCs to use RBI's liquidity boost to focus on refinancing debt obligations.RBI opens up intervention avenue in offshore rupee derivative market.Corporate bonds get Rs 1-trn relief as coronavirus ignites large sell-offs.Coronavirus relief: SBI takes cue from RBI; cuts lending rates by 75 bps.The life and times of YES Bank's flamboyant and self-absorbed Rana Kapoor.Coronavirus: RBI extends deadline to meet last tranche of CCB by 6 mnths.Coronavirus impact: SBI loan repayment worth Rs 60,000 cr may be deferred.PM, FM, industry welcome RBI 'bazooka' of rate cut, liquidity measures.RBI's rate cut provides the much-needed balm to revive the economy.Coronavirus impact: Fitch cuts banks' score of operating environment",positive
59,"March 26, 2020, Thursday","ESAF Small Finance Bank gets Sebi approval to float Rs 976 crore IPO.With a new ad campaign, YES Bank aims to regain its lost credibility.YES Bank board clears Rs 5,000 cr capital raising plan in multiple tranches.Banks plan to shut down most branches during coronavirus lockdown: Report.Covid-19 crisis: UBI sets up emergency funding window for corporates, MSMEs.Tamil Nadu warns pvt banks against collecting dues from small borrowers",neutral
60,"March 25, 2020, Wednesday",Coronavirus: Banks offer fresh lines of credit to SME firms amid lockdown.Coronavirus: Pressure mounts on govt to defer PSB merger amid lockdown.Indian Bank announces special emergency loan schemes to address lockdown.Covid-19 impact: Banks want NPA forbearance for next two quarters or more,neutral
61,"March 24, 2020, Tuesday","Writedown of YES Bank's additional AT-I bonds will result in risk aversion.Stark regulatory approach: Bailout for YES Bank; nothing for PMC Bank.Out of cash: How the ATM ecosystem continues to be mired in a quicksand.Rebuilding confidence, asset quality: Kathpalia's tasks at IndusInd Bank.IndusInd Bank appoints Sumant Kathpalia as Managing Director and CEO.HDFC Bank to name chief executive Aditya Puri's successor before April",neutral
62,"March 23, 2020, Monday","RBI extends priority sector classification for bank loans to NBFCs.MFI operations come to halt in lockdown districts; biz severely impacted.RBI advances OMO date, announces repo of Rs 1 trn in two tranches.Covid-19: RBI advances purchase of govt bonds to March 26 from March 30.Covid-19 impact: HDFC, ICICI urge customers to use digital banking services.Statsguru: From SBI to ICICI Bank, lenders come to YES Bank's rescue",neutral
63,"March 22, 2020, Sunday","An opportunity in Covid-19 crisis: Revisit all loan repayment contracts.How RBI set up war-room in just one day amid coronavirus outbreak.Coronavirus: Banks to ensure cash withdrawals, remittances at branches.Covid-19: Banks brace for downing shutters in case cities go into lockdown",neutral
64,"March 21, 2020, Saturday","Indian Bank urges customers to go digital to keep Coronavirus at bay.RBI extends curbs on PMC Bank by 3 months as it works on revival plan.RBI extends regulatory restrictions on PMC Bank by 3 months till June.Covid-19: SBI opens emergency credit line for borrowers till June 30.RBI buys bonds worth Rs 10k cr, to conduct 2 more OMOs of Rs 30k cr",neutral
65,"March 20, 2020, Friday","SBI to provide lifeline emergency credit to coronavirus-hit borrowers.SBI offers new credit scheme to meet liquidity mismatch amid Covid-19.CARE downgrades rating of Rana Kapoor-linked firm, citing CBI probe.RBI to inject Rs 30k cr into market for financial stability amid Covid-19.YES Bank crisis: Court sends Rana Kapoor to judicial custody till April 2.RBI names R Gandhi, Ananth Gopalkrishnan addl directors on YES Bank Board.Bernstein downgrades HDFC Bank on unsecured credit, succession plans.IBA withdrawal of communique on loans of up to Rs 200 cr stumps banks.YES Bank plans to raise Rs 20,000 crore through certificate of deposits",neutral
66,"March 19, 2020, Thursday","Coronavirus impact: Banks seeks RBI's nod to offer relief to borrowers.YES Bank probe: ED grills Anil Ambani for 9 hrs, calls him again on Mar 30.PSB merger: Bank logos along lines of BoB, Vijaya and Dena fusion.As Yes Bank services resume, Prashant Kumar reassures safety of deposits.YES Bank remits over Rs 397 crore to Jagannath Temple Administartion.Ind-Ra revises rating watch on YES Bank to 'evolving' from 'negative'.YES Bank money laundering case: Anil Ambani appears before ED in Mumbai.Covid-19: Centre asks banks to delay declaring companies' accounts as NPAs.YES Bank gets Rs 60k-cr line of credit from RBI to resume operations",neutral
67,"March 18, 2020, Wednesday","Asset quality, growth fears crop up for NBFCs over YES Bank, virus scare.RBI receives Rs 27,096 cr bids in 5th LTRO conducted for Rs 25,000 cr.To maintain liquidity, RBI to purchase Rs 10,000-crore govt bonds via OMO.YES Bank crisis: Madhu Kapur sells 25 million shares worth Rs 160 cr.HDFC Bank: Steepest single-day fall, gains wiped off; caution warranted.YES Bank resumes operations; all services available for customers now.Stressed NBFCs relying more on banks to meet funding requirements: CARE.Banks to approach RBI for relief on NPA classification amid Covid-19 fears.All banking services to resume from evening; ATMs have cash: YES Bank.IndusInd Bank says it is financially strong amid speculation around stock.YES Bank looks to recover Rs 8,500 cr from loan defaulters in next fiscal.Coronavirus impact: IBA to seek relief package for financial institutions.HSBC appoints interim boss Noel Quinn as chief executive officer",positive
68,"March 17, 2020, Tuesday","ICICI Bank gets 7.97% stake in YES Bank with Rs 1,000-cr capital infusion.The mystery behind surreal gain in crisis-hit YES Bank's stock price.DBS Bank, Bharti AXA join hands for insurance plan covering Covid-19.SBI to up YES Bank stake to 49%, will not sell share before 3 yrs: Chairman.ED files fresh money laundering cases against YES Bank's Rana Kapoor, wife.Share exchange ratio for merger remains unchanged, says Indian Bank.YES Bank ATMs full of cash, normal operations from tomorrow: Prashant Kumar.We are financially strong, well-capitalised and profitable, says RBL Bank.RBI tells banks to put in place biz continuity plans to prevent disruption.YES Bank case: ED summons Anil Ambani, Subhash Chandra and Naresh Goyal",neutral
69,"March 16, 2020, Monday","Don't rush to withdraw deposits from YES Bank: RBI governor Shaktikanta Das.Coronavirus scare: SBI Cards drops 10% on debut, HNIs lose Rs 200 per share.New valuation gap between top tier pvt sector banks and their small peers.Moody's upgrades YES Bank's ratings; outlook changed to positive.YES Bank crisis: Rana Kapoor's custody extended by four days till March 20.Moody's upgrades YES Bank ratings; outlook changed to positive.Coronavirus outbreak disrupts PSB merger as banks put programmes on hold.HDFC to hold 7.97% stake in YES Bank for Rs 1,000 crore capital infusion.NSE decides to pre-pone YES Bank's exclusion from indices to this Thursday.Investments in YES Bank aimed at providing stability, says SBI chief.Customers can access all banking services from Wednesday evening: Yes Bank.Yes Bank trading curbs: FPIs, institutional investors flag concerns.YES Bank AT1 bond write-down reflects distinct treatment for private banks.YES Bank to be dropped from Nifty 50, and other Nifty indices from March 19.Tamilnad Mercantile Bank to seek shareholders' approval for IPO again.IDFC First Bank plans to invest Rs 250 crore in crisis-hit YES Bank.YES Bank looks to contain slippages to around Rs 8,500 crore in FY21.Fresh blows, disappointments to investors of crisis-hit YES Bank",neutral
70,"March 15, 2020, Sunday","YES Bank crisis: How Rana Kapoor's firm expanded aggressively through loans.With India-Iran trade at standstill, banks set to lose low cost deposits",negative
71,"March 14, 2020, Saturday","Yes Bank reports Rs 18,564.2-crore loss in Q3; NPAs saw a sharp rise.Why microfinance crisis is still not over even 10 years after the clampdown.Federal Bank to invest Rs 300 cr in Yes Bank at Rs 10 per equity share.Yes Bank crisis: Federal Bank to invest Rs 300 cr for 300 mn shares.Govt notifies YES Bank rescue scheme; moratorium to be lifted on March 18.Bandhan Bank to invest Rs 300 cr in Yes Bank as part of reconstruction plan.YES Bank crisis: RBI's Moratorium on lender to be lifted on March 18.PNB set to revamp business and strategy of five regional rural banks.YES Bank crisis: CBI files another case against Rana Kapoor, wife",neutral
72,"March 13, 2020, Friday","YES Bank recast scheme: Additional tier-I bonds see spike in yields.YES Bank row: Maharashtra civic bodies asked not to keep money in pvt banks.YES Bank gets Rs 3,100-cr lifeline from pvt lenders; moratorium to go soon.Lord Jagannath's money in YES Bank: Odisha House panel to probe.ICICI Bank, HDFC, Kotak and Axis Bank join SBI to invest in YES Bank.CBI books YES Bank founder Rana Kapoor, wife, and others in fresh case.ICICI Bank to invest Rs 1,000 cr in Yes Bank; to hold stake in excess of 5%.Union Cabinet clears draft resolution scheme for YES Bank revival.SBI to invest Rs 7,250 cr in crisis-hit YES Bank as part of RBI rescue plan",neutral
73,"March 12, 2020, Thursday","YES Bank fiasco: RBI asks states not to withdraw funds from private banks.LVB asserts liquidity coverage ratio higher than RBI-mandated level.Ensure credit not disrupted after bank merger, Finance Ministry tells PSBs.Banks' credit grows 6.13%, deposits 9% in the second half of Feb: RBI data.SBI approves Rs 7,250 cr fund infusion into Yes Bank, to pick up 49% stake.PMC Bank scam: Mumbai Police arrests former director, two others.YES Bank bondholders say will withdraw court plea if RBI accepts offer.Yes Bank crisis: RBI asks state govts not to move deposits from pvt banks.RBI announces USD INR sell/buy swap for liquidity amid Coronavirus.RBI may come to the rescue of bleeding markets with liquidity-boost.Rana Kapoor's wife Bindu was director in 42 firms, some named in CBI FIR.Bandhan Bank to gradually lower its microcredit exposure: CEO Ghosh.YES Bank bailout may renew fund, liquidity pressure on NBFIs: Fitch.ICAI to review YES Bank's financial statements for FY18 and FY19.Over 100 people in Yes Bank's 'top management' may lose ESOPs, bonuses.YES Bank crisis: PE firms want to invest at Rs 10/share, on par with SBI.ED probes Rana Kapoor's role in YES Bank's Rs 30,000-cr bad loans.ED identifies real estate assets of Rana Kapoor family in India, abroad",neutral
74,"March 11, 2020, Wednesday","YES Bank planning to sell Rs 4,000-crore exposure to Vodafone Idea.YES Bank crisis: Cabinet likely to take up revival plan on March 13.L&T moves Bombay HC to secure provident funds exposure to YES Bank.We are well capitalised, depositors need not worry: Karnataka Bank.YES Bank shares attract hefty SLB premium, high volatility can add risk.SBI says reducing indirect taxes, and not rate cuts, can lift consumption.SBI pares savings account interest rate to 3%, scraps minimum balance fine.Yes Bank customers can make Rs 2 lakh payments for loans via other banks.NBFCs' challenges could intensify following Yes Bank restructuring: Fitch.SBI does away with minimum balance requirement in savings accounts.SBI cuts retail deposit rates by up to 50 bps, reduces MCLR by 10-15 bps.Deal with bondholders 'in process', says Yes Bank administrator.Bandhan Bank opens 125 banking outlets after RBI lifts restrictions.Bank is financially strong, well capitalised and profitable: RBL Bank.We are financially strong and well capitalised, confirms RBL Bank.SBI lowers FD, lending rates by up to 15 bps in its 10th cut this year.YES Bank crisis: Sebi may impose curbs on MFs' exposure to perpetual bonds.YES Bank founder Rana Kapoor tried to influence loan decisions: Gill to ED",positive
75,"March 10, 2020, Tuesday","YES Bank resumes inward NEFT, IMPS services; customers can now pay dues.ED seizes Rajiv Gandhi painting; many of YES Bank's big loans under scanner.YES Bank to transform into a retail bank: Administrator Prashant Kumar",neutral
